huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,row_crop,pasture,forest,urban,other,downstream_huc12_count,downstream_flow_miles,severity_score,persistence_score,agricultural_land_score,downstream_impact_score,composite_score
070600040503,Little Volga River,706000405,14,14,12.5,64.0,14,107.0,86.0,11,0,0,0,4,0,0,81.5,11.6,0.9,5.4,0.5,100,1669.1,0.8866666666666667,0.0410958904109589,0.9890643985419197,0.27746170678336923,0.6873513349897714
070600040504,Coulee Creek-Volga River,706000405,10,10,12.0,80.0,8,88.0,60.0,6,0,0,0,3,0,1,73.5,14.9,5.5,4.6,1.5,99,1663.6,0.8533333333333334,0.0228310502283105,0.8918590522478735,0.25339168490153113,0.6387964275435107
070400020902,Trout Brook,704000209,43,38,8.7,60.0,37,65.0,42.0,0,0,0,0,0,0,0,75.0,12.6,7.7,4.5,0.3,109,1791.1,0.622,0.1735159817351598,0.9100850546780073,0.8113785557986865,0.6376665683303028
070600040502,Headwaters Volga River,706000405,14,14,11.6,64.0,11,18.0,14.0,9,0,1,0,3,0,1,82.4,11.8,0.7,4.4,0.6,100,1671.8,0.6226666666666666,0.0410958904109589,1.0,0.2892778993435445,0.5862136346832129
070600040501,North Branch Volga River,706000405,6,6,7.5,17.0,6,67.0,50.0,4,0,2,0,0,0,0,82.0,10.8,1.8,5.0,0.5,100,1673.8,0.4375,0.0045662100456621,0.9951397326852977,0.29803063457330375,0.5042582252720521
070400010205,South Branch Vermillion River,704000102,77,58,4.5,9.0,63,151.0,47.0,1,0,0,0,2,0,1,59.9,23.8,8.0,6.0,2.4,109,1807.0,0.31416666666666665,0.3287671232876712,0.726609963547995,0.8809628008752733,0.49749936047612675
070300051105,Lower Kinnickinnic Pond-Kinnickinnic River,703000511,224,191,4.4,4.0,202,28.0,23.0,96,0,0,15,49,1,0,34.8,28.7,25.1,10.3,1.2,109,1794.2,0.21066666666666667,1.0,0.42162818955042514,0.824945295404814,0.49324965307227564
070400040503,Cold Creek,704000405,15,13,5.5,20.0,11,73.0,47.0,0,0,0,0,0,0,0,68.7,21.7,4.8,4.3,0.4,106,1772.9,0.38666666666666666,0.045662100456621,0.8335358444714459,0.7317286652078777,0.48703270662021236
070400080404,Forestville Creek,704000804,8,6,8.3,50.0,3,33.0,12.0,1,0,0,0,0,0,0,60.9,21.5,13.3,4.1,0.2,106,1750.5,0.46966666666666673,0.0136986301369863,0.7387606318347508,0.6336980306345731,0.47560438530794646
070400080403,Canfield Creek,704000804,9,9,5.8,33.0,7,14.0,11.0,0,0,0,0,0,0,0,72.4,13.5,9.1,4.1,0.8,106,1751.9,0.3288333333333333,0.0182648401826484,0.8784933171324423,0.639824945295405,0.4627167910391362
070400030305,Middle Fork Whitewater River,704000303,22,21,7.6,41.0,22,23.0,14.0,3,0,2,2,0,0,1,57.6,23.8,13.8,4.5,0.3,105,1737.4,0.42016666666666663,0.0776255707762557,0.6986634264884568,0.57636761487965,0.45082757025641984
070600040601,Brush Creek,706000406,24,24,8.1,46.0,22,36.0,29.0,15,0,4,1,0,0,5,58.2,19.9,16.8,4.7,0.4,97,1641.8,0.5043333333333333,0.0867579908675799,0.7059538274605103,0.15798687089715496,0.4466697668347179
070400040505,Long Creek,704000405,12,12,3.5,0.0,12,100.0,83.0,0,0,0,0,0,0,0,60.5,19.1,15.9,4.0,0.3,105,1759.2,0.36999999999999994,0.0319634703196347,0.7339003645200485,0.6717724288840262,0.44174004630834407
070400080203,Kedron Creek,704000802,13,13,6.3,15.0,12,8.0,8.0,0,2,1,0,0,0,0,71.2,17.8,6.9,3.9,0.2,106,1769.4,0.25716666666666665,0.0365296803652968,0.8639125151883353,0.7164113785557988,0.4409874951518065
070400080402,Etna Creek-South Branch Root River,704000804,21,21,6.6,33.0,20,25.0,24.0,1,0,0,0,0,0,0,52.3,23.2,19.3,4.6,0.7,106,1754.9,0.39349999999999996,0.0730593607305936,0.6342648845686512,0.652954048140044,0.4275867423307185
