huc12_code,huc12_name,huc10_name,n_observations,n_no3_readings,avg_no3_ppm,pct_no3_impaired,n_phos_readings,avg_orthophosphate_ppb,pct_phos_impaired,bank_erosion_flags,algal_bloom_flags,livestock_in_water_flags,pipe_drain_outflow_flags,trash_flags,fish_kill_flags,fish_barrier_flags,outlet_comid,downstream_huc12_count,downstream_trace_truncated,downstream_flow_miles
070600040503,Little Volga River,706000405,14,14,12.5,64.0,14,107.0,86.0,11,0,0,0,4,0,0,13312041,100,True,1669.1
070600040504,Coulee Creek-Volga River,706000405,10,10,12.0,80.0,8,88.0,60.0,6,0,0,0,3,0,1,13311975,99,True,1663.6
070600040502,Headwaters Volga River,706000405,14,14,11.6,64.0,11,18.0,14.0,9,0,1,0,3,0,1,13311965,100,True,1671.8
070400020902,Trout Brook,704000209,43,38,8.7,60.0,37,65.0,42.0,0,0,0,0,0,0,0,2028775,109,True,1791.1
070400080404,Forestville Creek,704000804,8,6,8.3,50.0,3,33.0,12.0,1,0,0,0,0,0,0,2465071,106,True,1750.5
070600040601,Brush Creek,706000406,24,24,8.1,46.0,22,36.0,29.0,15,0,4,1,0,0,5,13311943,97,True,1641.8
070400040205,South Branch Middle Fork Zumbro River,704000402,20,20,7.8,50.0,4,25.0,5.0,5,0,0,0,0,0,0,2441220,108,True,1797.6
070400030305,Middle Fork Whitewater River,704000303,22,21,7.6,41.0,22,23.0,14.0,3,0,2,2,0,0,1,2119732,105,True,1737.4
070600040501,North Branch Volga River,706000405,6,6,7.5,17.0,6,67.0,50.0,4,0,2,0,0,0,0,13311963,100,True,1673.8
070400080405,Town of Forestville-South Branch Root River,704000804,18,18,7.3,39.0,18,0.0,0.0,0,0,0,0,0,0,0,2464953,105,True,1741.8
070400080402,Etna Creek-South Branch Root River,704000804,21,21,6.6,33.0,20,25.0,24.0,1,0,0,0,0,0,0,2465461,106,True,1754.9
070600040602,Mink Creek,706000406,13,12,6.4,31.0,11,91.0,62.0,11,0,0,0,1,0,2,13311915,97,True,1640.0
070400080203,Kedron Creek,704000802,13,13,6.3,15.0,12,8.0,8.0,0,2,1,0,0,0,0,2464429,106,True,1769.4
070400080403,Canfield Creek,704000804,9,9,5.8,33.0,7,14.0,11.0,0,0,0,0,0,0,0,2465193,106,True,1751.9
070400040503,Cold Creek,704000405,15,13,5.5,20.0,11,73.0,47.0,0,0,0,0,0,0,0,2442284,106,True,1772.9
070600040506,Grannis Creek-Volga River,706000405,39,38,5.4,31.0,32,38.0,23.0,5,0,0,1,3,0,2,13311939,98,True,1646.4
070300051201,City of Stillwater-Lake Saint Croix,703000512,9,2,5.0,11.0,4,75.0,33.0,0,0,0,0,0,0,0,2651850,110,True,1806.0
070400080207,Bear Creek,704000802,7,7,5.0,0.0,7,0.0,0.0,0,0,0,0,0,0,0,2464173,105,True,1753.1
070600040607,Bear Creek,706000406,8,8,4.8,25.0,6,33.0,25.0,4,0,2,0,0,0,2,13313297,94,True,1611.9
070400080802,Wisel Creek,704000808,15,15,4.7,0.0,15,27.0,20.0,0,0,0,0,0,0,0,2462541,102,True,1719.0
070600010401,Upper Winnebago Creek,706000104,13,13,4.6,0.0,13,8.0,8.0,0,0,1,0,0,0,0,13207682,99,True,1664.7
070900030101,East Pecatonica River,709000301,9,9,4.6,11.0,3,33.0,11.0,5,0,1,0,2,0,0,13412876,111,True,1777.4
070400010205,South Branch Vermillion River,704000102,77,58,4.5,9.0,63,151.0,47.0,1,0,0,0,2,0,1,1877079,109,True,1807.0
070400030502,Garvin Brook,704000305,11,6,4.5,9.0,8,325.0,73.0,3,0,0,0,1,0,0,2118132,103,True,1710.9
070300051104,Parker Creek-Kinnickinnic River,703000511,71,61,4.5,7.0,62,44.0,34.0,10,3,0,10,25,0,0,2651660,110,True,1804.2
070300051105,Lower Kinnickinnic Pond-Kinnickinnic River,703000511,224,191,4.4,4.0,202,28.0,23.0,96,0,0,15,49,1,0,2651872,109,True,1794.2
070400080302,Trout Run,704000803,6,5,4.4,0.0,5,100.0,67.0,1,0,0,0,1,0,0,2464279,104,True,1740.2
070400080503,Pine Creek,704000805,9,9,4.3,0.0,9,33.0,33.0,2,0,0,0,0,0,0,2461465,102,True,1709.6
070600040605,Cox Creek,706000406,10,8,4.2,10.0,9,111.0,80.0,8,0,1,0,2,0,2,13312363,96,True,1623.4
070400030307,Lower South Fork Whitewater River,704000303,19,12,4.2,5.0,17,88.0,53.0,3,0,0,0,0,0,0,2119684,105,True,1735.6
070400030308,Beaver Creek,704000303,5,4,4.2,0.0,4,125.0,80.0,4,0,0,1,1,0,0,2119496,105,True,1729.5
070400080805,Beaver Creek,704000808,24,23,4.2,8.0,24,25.0,17.0,0,0,0,0,0,0,0,2462097,101,True,1695.8
070400080205,Spring Valley Creek,704000802,16,15,4.2,0.0,14,36.0,25.0,1,0,0,1,0,0,1,2464601,106,True,1766.1
070400010701,Isabelle Creek,704000107,36,30,4.1,0.0,32,122.0,33.0,2,0,0,0,0,0,0,1874633,106,True,1763.3
070500051102,Porcupine Creek-Plum Creek,705000511,5,3,4.0,0.0,3,0.0,0.0,0,0,0,0,0,0,1,13108193,106,True,1749.8
070400080208,Middle Branch Root River,704000802,24,24,3.9,0.0,22,136.0,8.0,2,1,1,0,0,0,0,2464199,104,True,1751.2
070600040505,Frog Hollow,706000405,8,8,3.9,12.0,4,50.0,12.0,0,0,0,0,0,0,0,13311709,99,True,1652.8
070600020502,Waterloo Creek,706000205,17,17,3.8,0.0,17,6.0,6.0,2,0,0,0,0,0,0,13337282,101,True,1667.1
070400080803,Middle South Fork Root River,704000808,32,25,3.8,0.0,26,73.0,41.0,0,0,0,0,0,0,0,2462231,101,True,1701.9
070600010901,Headwaters Yellow River,706000109,5,4,3.8,20.0,1,100.0,20.0,1,0,0,1,0,0,0,13210986,98,True,1654.1
070400040510,West Indian Creek,704000405,30,30,3.8,0.0,29,76.0,67.0,2,0,0,0,0,0,0,2440484,104,True,1751.0
070600040604,Nagle Creek-Volga River,706000406,21,17,3.8,5.0,21,43.0,29.0,17,0,5,1,2,0,8,13312167,96,True,1629.5
070400010303,Spring Creek-Trimbelle River,704000103,7,5,3.8,0.0,3,0.0,0.0,0,0,0,0,0,0,1,1875111,107,True,1771.6
070400080502,Middle Rush Creek,704000805,14,9,3.6,0.0,7,43.0,14.0,5,1,1,0,0,0,0,2461463,102,True,1708.7
070400080407,Camp Creek,704000804,5,4,3.5,0.0,4,25.0,20.0,3,0,1,0,0,0,0,2464919,105,True,1738.0
070400030603,East Indian Creek,704000306,8,8,3.5,0.0,7,43.0,25.0,3,0,0,0,0,0,0,2117196,104,True,1724.9
070400040505,Long Creek,704000405,12,12,3.5,0.0,12,100.0,83.0,0,0,0,0,0,0,0,2442076,105,True,1759.2
070400010702,Pine Creek,704000107,57,47,3.4,0.0,54,0.0,0.0,2,0,0,0,0,1,1,1875173,106,True,1756.2
070400010401,Hay Creek,704000104,74,65,3.3,3.0,68,84.0,61.0,2,0,1,1,2,0,0,2028941,107,True,1768.9
070400080107,Mill Creek,704000801,18,16,3.3,0.0,18,33.0,28.0,1,0,1,0,0,0,0,2463995,105,True,1756.0
070400030309,Trout Creek,704000303,6,5,3.2,0.0,6,67.0,67.0,3,0,1,0,0,0,0,2117300,105,True,1724.8
070400060502,City of La Crosse-Mississippi River,704000605,21,5,3.2,0.0,3,100.0,14.0,0,0,0,3,1,0,1,13208654,98,True,1669.9
070400071203,Douglas Creek,704000712,8,7,3.0,12.0,8,238.0,88.0,1,0,0,0,0,0,1,13138251,104,True,1724.4
070400030102,South Fork of the Buffalo River,704000301,5,5,3.0,0.0,4,50.0,40.0,0,0,0,0,0,0,1,2113802,110,True,1793.6
070600020403,Trout Creek,706000204,10,4,2.8,0.0,7,114.0,60.0,2,0,0,0,0,0,0,13337048,104,True,1701.0
070400030404,Eagle Creek,704000304,5,4,2.8,0.0,2,0.0,0.0,0,0,0,0,0,0,1,2118116,104,True,1713.6
070400010505,Brush Creek-Rush River,704000105,42,23,2.8,0.0,25,40.0,19.0,2,0,0,0,0,0,0,1874145,108,True,1769.9
070600010203,Clear Creek-Crooked Creek,706000102,12,12,2.8,0.0,12,0.0,0.0,0,0,0,0,0,0,0,13208132,98,True,1659.0
070600040606,Honey Creek-Volga River,706000406,14,14,2.8,0.0,12,42.0,36.0,8,0,0,1,1,0,1,13312433,95,True,1614.3
070600040608,Doe Creek-Volga River,706000406,12,12,2.8,0.0,10,40.0,25.0,8,0,1,0,0,0,3,13313293,93,True,1605.7
070400020803,Lower Belle Creek,704000208,11,8,2.6,9.0,11,82.0,73.0,1,0,0,0,0,0,0,2028765,108,True,1782.1
070400010301,Goose Creek-Trimbelle River,704000103,42,25,2.5,0.0,35,9.0,5.0,1,0,0,0,0,0,1,1873871,108,True,1789.0
070300051008,Bass Lake-Willow River,703000510,5,2,2.5,0.0,4,100.0,40.0,1,0,0,0,0,0,0,2651844,111,True,1808.4
070500051101,Nugget Lake-Plum Creek,705000511,24,17,2.5,0.0,22,18.0,12.0,0,0,0,0,0,0,2,13108073,107,True,1761.9
070400020702,Middle Little Cannon River,704000207,7,5,2.4,14.0,6,100.0,57.0,3,0,0,0,2,0,0,2031203,110,True,1803.5
070400030602,Snake Creek,704000306,6,6,2.3,0.0,6,33.0,17.0,2,0,0,0,0,0,0,2117184,104,True,1723.5
070102060703,Saint Anthony Falls-Mississippi River,701020607,7,6,2.3,14.0,4,25.0,14.0,0,0,0,0,0,0,0,1104244,113,True,1821.1
070300051103,South Fork Kinnickinnic River,703000511,51,43,2.2,0.0,47,66.0,14.0,14,2,0,2,6,0,2,2651680,110,True,1805.9
070500051003,Cady Creek,705000510,28,24,2.2,0.0,27,85.0,50.0,0,0,1,1,0,0,0,13107801,109,True,1776.4
070400010704,Miller Creek,704000107,29,7,2.1,0.0,21,210.0,34.0,0,0,0,0,0,0,0,1880177,106,True,1748.3
070700060205,West Fork Kickapoo River,707000602,7,6,2.0,0.0,1,0.0,0.0,1,0,0,0,0,0,0,13625431,101,True,1685.7
070500050703,Pine Creek-Lowes Creek,705000507,9,2,2.0,0.0,2,100.0,22.0,2,0,0,0,4,0,0,13107047,112,True,1799.9
070400071003,Squaw Creek,704000710,6,6,2.0,0.0,6,267.0,100.0,0,0,0,0,0,0,3,13136675,104,True,1745.2
070500051005,Knights Creek,705000510,8,4,2.0,0.0,4,125.0,38.0,0,0,1,0,0,0,1,13107869,108,True,1770.6
070500050602,Elk Creek Lake-Elk Creek,705000506,15,8,2.0,0.0,3,500.0,20.0,1,0,0,0,0,0,0,13107219,112,True,1785.6
070400071104,Little Tamarack Creek-Beaver Creek,704000711,5,1,2.0,0.0,2,150.0,40.0,0,0,1,0,0,0,1,13139393,101,True,1696.0
070400050204,French Creek,704000502,11,11,2.0,0.0,11,64.0,55.0,0,0,0,0,0,0,1,2733058,110,True,1763.6
070400071102,North Fork of Beaver Creek,704000711,18,18,1.9,0.0,17,241.0,89.0,1,0,1,0,0,0,3,13138885,103,True,1712.4
070400060102,Halfway Creek,704000601,20,19,1.8,0.0,16,62.0,45.0,2,0,0,0,0,0,2,2456078,99,True,1688.5
070600010501,Mormon Creek,706000105,11,10,1.8,0.0,5,20.0,9.0,3,0,0,1,1,0,0,13208070,98,True,1670.6
070700050401,Upper Honey Creek,707000504,15,14,1.8,0.0,14,157.0,73.0,0,0,1,0,0,0,0,13637187,105,True,1708.6
070600010703,Sugar Creek,706000107,6,6,1.7,0.0,4,0.0,0.0,0,0,0,0,0,0,0,13211412,97,True,1638.8
070700051301,West Branch Mill Creek-Mill Creek,707000513,8,6,1.7,0.0,6,17.0,12.0,1,0,0,0,0,0,1,13635071,99,True,1667.3
070700051104,Faney Creek,707000511,10,10,1.7,0.0,10,40.0,30.0,1,0,0,0,0,0,0,13634851,102,True,1681.3
070700050403,Middle Honey Creek,707000504,7,6,1.7,0.0,6,317.0,86.0,0,0,0,0,0,0,0,13632421,104,True,1698.7
070700051803,Gran Grae Creek,707000518,5,5,1.6,0.0,5,0.0,0.0,0,0,0,0,0,0,0,13636839,93,True,1618.0
070700051002,Middle Willow Creek,707000510,5,5,1.6,0.0,5,60.0,60.0,1,0,1,0,0,0,0,13635109,101,True,1672.1
070600010101,Timber Coulee Creek,706000101,5,5,1.6,0.0,4,25.0,20.0,2,0,0,0,1,0,0,13205784,101,True,1686.6
070400030101,North Fork of the Buffalo River,704000301,7,6,1.5,0.0,6,67.0,57.0,0,0,0,0,0,0,1,2113790,110,True,1794.2
070400071103,French Creek,704000711,8,8,1.5,0.0,8,88.0,75.0,0,0,1,0,0,0,0,13138971,102,True,1709.3
070700060403,Tainter Creek,707000604,9,9,1.4,0.0,6,0.0,0.0,0,0,2,0,0,0,0,13625677,99,True,1667.4
070400010204,City of Farmington-Vermillion River,704000102,17,14,1.4,0.0,7,0.0,0.0,6,0,1,3,6,0,0,1877061,109,True,1806.4
