huc12_code,huc12_name,n_fields,n_ag_fields,pct_ag_fields,ag_acres,field_data_available
070600040503,Little Volga River,431,280,65.0,21546.0,True
070600040504,Coulee Creek-Volga River,455,231,50.8,15221.0,True
070400020902,Trout Brook,414,213,51.4,13863.0,True
070600040502,Headwaters Volga River,310,195,62.9,14933.0,True
070600040501,North Branch Volga River,337,214,63.5,14681.0,True
070400010205,South Branch Vermillion River,562,237,42.2,12671.0,True
070300051105,Lower Kinnickinnic Pond-Kinnickinnic River,773,209,27.0,7981.0,True
070400040503,Cold Creek,813,350,43.1,18095.0,True
070400080404,Forestville Creek,305,141,46.2,7358.0,True
070400080403,Canfield Creek,396,182,46.0,13075.0,True
070400030305,Middle Fork Whitewater River,963,411,42.7,19237.0,True
070600040601,Brush Creek,533,235,44.1,13945.0,True
070400040505,Long Creek,543,257,47.3,12561.0,True
070400080203,Kedron Creek,382,191,50.0,10925.0,True
070400080402,Etna Creek-South Branch Root River,465,175,37.6,8533.0,True
