FBndID,huc12_code,acres,isAG,OID,GenLU,AgLandUse,CropRotatn,CropSumry,CCCount,MixCount
F070600040503_1,070600040503,3.21706,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,6:6
F070600040503_2,070600040503,78.1385,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCBCB,C3B3,1:6,3:6
F070600040503_3,070600040503,52.0669,1,-1,Continuous Corn,Continuous Corn,CCCCCC,C6,5:6,0:6
F070600040503_4,070600040503,72.6691,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCCCCC,C5B1,4:6,0:6
F070600040503_5,070600040503,66.3347,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_6,070600040503,7.8063,0,-1,LT 15 ac,LT 15 ac,PPPPPP,P6,0:6,1:6
F070600040503_7,070600040503,76.2575,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBCBCC,C4B2,1:6,0:6
F070600040503_8,070600040503,5.23621,0,-1,LT 15 ac,LT 15 ac,UUUUUF,F1U5,0:6,6:6
F070600040503_9,070600040503,155.251,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCBCCB,C3B3,1:6,0:6
F070600040503_10,070600040503,4.74025,0,-1,LT 15 ac,LT 15 ac,UUUUUP,P1U5,0:6,6:6
F070600040503_11,070600040503,80.1083,1,-1,Corn/Soybeans,CntCorn/Soybeans,CBBBCC,C3B3,1:6,4:6
F070600040503_13,070600040503,6.48542,0,-1,LT 15 ac,LT 15 ac,BCBCCC,C4B2,2:6,1:6
F070600040503_14,070600040503,25.2332,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCBCCC,C4B2,2:6,0:6
F070600040503_15,070600040503,17.8539,1,-1,Corn/Soybeans,CntCorn/Soybeans,BCBCCC,C4B2,2:6,0:6
F070600040503_16,070600040503,3.90109,0,-1,LT 15 ac,LT 15 ac,CBCBCC,C4B2,1:6,0:6
F070600040503_18,070600040503,12.6083,0,-1,LT 15 ac,LT 15 ac,CBCBCC,C4B2,1:6,0:6
F070600040503_19,070600040503,42.6661,2,-1,Pasture|Grass|Hay,Pasture|Grass|Hay,PPPPPP,P6,0:6,6:6
F070600040503_20,070600040503,80.7374,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_21,070600040503,109.597,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
F070600040503_22,070600040503,45.4241,1,-1,Corn/Soybeans,Corn/Soybeans,BCBCBC,C3B3,0:6,0:6
F070600040503_23,070600040503,33.25,1,-1,Corn/Soybeans,Corn/Soybeans,CBCBCB,C3B3,0:6,0:6
